name,lat,lon
"Avalon, Mt (3.3 mi)",44.21775,-71.41127
Bald Mt (5 mi),44.16526,-71.76576
Black Mt Trail (4 mi),44.09446,-71.91502
Black Mt Chippewa (4 mi 4★),44.066229,-71.945991
"Cardigan, Mt East Loop (5 mi 5★)",43.649581,-71.878246
"Cardigan, Mt Holt Trail (5 mi 5★)",43.649581,-71.878245
"Cardigan, Mt West Loop (3 mi 5★)",43.64422,-71.93528
Chocorua M Sister Brook-Liberty (7.9 mi),43.91738,-71.29353
Chocorua M Sister Carter Ledge (9.5 mi),43.95297,-71.21536
"Chocorua, M Sister Champney Falls (8 mi)",43.99004,-71.29915
Chocorua M Sister Piper Weetamoo (8.6 mi),43.94062,-71.22895
Crawford Resolution Stairs (9.6 mi),44.11874,-71.35377
"Cube, Mt AT (7 mi 4★)",43.901451,-71.984692
"Cube, Mt Cross Rivendell (5 mi 5★)",43.886921,-72.048003
"Cube, Mt Kodak Trail (6 mi)",43.86838,-72.04561
"Doublehead, North (2.9 mi)",44.16164,-71.15061
Eagle & Baldface (9.7 mi),44.2374985,-71.015298
Eastman Mt (8.1 mi),44.2374984,-71.0152975
"Hayes, Mt Centennial (7 mi 4★)",44.406527,-71.116898
"Hayes, Mt Mahoosuc (7 mi 4★)",44.402433,-71.198929
Hedgehog Mt (4 mi),43.99428,-71.36945
Horn Mill Brook Rd (7.5 mi),44.553601,-71.4098992
Horn & Mt Cabot Loop (10.5 mi),44.49819,-71.35854
Imp Face (4 mi),44.32326,-71.21702
Iron Mt (4.4 mi),44.14341,-71.23479
"Israel, Mt Wentworth Tr (4 mi 4★)",43.82854,-71.4843
"Jennings, Sandwich Mts (8 mi 4★)",43.93825,-71.51102
"Kearsarge, Mt Lincoln Rollins (1 mi 5★)",43.378981,-71.858754
"Kearsarge, Mt Lincoln Trail (9 mi 5★)",43.355157,-71.901933
"Kearsarge, Mt Winslow Barlow (3 mi 4★)",43.38991,-71.86769
Kearsarge North Trail (6 mi 4★),44.075303,-71.108807
Kearsarge North Weeks Brook (9 mi),44.08558,-71.03228
"Magalloway, Mt (2 mi 5★)",45.069412,-71.171882
"Moat Mt, North Pk (8.1 mi)",44.0746303,-71.164092
"Moat, Mt South Pk (5.1 mi)",43.99375,-71.18354
"Moat, Mt 3 Pks North (12.7 mi)",44.0746301,-71.164091
"Moat, Mt 3 Pks South (9.6 mi)",43.99373,-71.18356
"Monadnock, Mt Birchtoft (6.0-6.9mi 5★)",42.861904,-72.063198
"Monadnock, Mt Dublin (4 mi 5★)",42.88572,-72.12545
"Monadnock, Mt Marlboro (4 mi 5★)",42.85933,-72.1386
"Monadnock, Mt Pumpelly (8 mi 5★)",42.901202,-72.074989
"Monadnock, Mt White Arrow (4 mi 5★)",42.83555,-72.113943
"Monadnock, Mt White Dot/Cross (3 mi 5★)",42.845652,-72.088708
Morgan Percival Mts Loop (5 mi 4★),43.78956,-71.54939
Owlhead Peak Trail (5 mi),44.360478,-71.487884
Owlhead Peak Cherry Mt Trail (5 mi 4★),44.320417,-71.5255614
"Parker, Mt (7.0mi)",44.08413,-71.28633
"Paugus, Mt Bolles Loop (6.4 mi)",43.91738,-71.29354
"Paugus, Mt Cabin-Big Rock Loop (7.3 mi)",43.90854,-71.34148
"Paugus, Mt Kelley Tr (7.6 mi)",43.914,-71.3575
"Pemigewasset, Mt Indian Head (3.7 mi 4★)",44.081554,-71.686102
"Pemigewasset, Mt Loop (4.6 mi 4★)",44.09767,-71.68181
"Pemigewasset, Mt Trail (3.5 mi 4★)",44.09768,-71.68181
"Percy, North Peak (3.8 mi)",44.66566,-71.4577
Pine Mt (5.8 mi),44.38647,-71.18148
Potash Mt (3.9 mi),43.99427,-71.36945
"Roberts, Mt Trail (5 mi 4★)",43.73199,-71.32449
Rogers Ledge S Pond (7.7mi),44.59715,-71.36737
Rogers Ledge Unknown Pond (9.4 mi),44.5536004,-71.4098998
"Shaw, Mt (7 mi 4★)",43.7109,-71.2918
Shelburne Moriah Mt (10.2 mi),44.40096,-71.10939
Smarts Mt Doan & JTrail (7 mi),43.85849,-72.05649
Smarts Mt Ranger & Lambert Tr (7 mi 4★),43.7971737,-72.0715309
Stinson Mt Trail (4 mi 4★),43.849315,-71.800908
"Success, Mt (5.4 mi)",44.48429,-71.07663
Sugarloaf Mt Trail (4 mi 4★),44.73715,-71.43927
"Sugarloaf, Middle (2.5 mi)",44.25429,-71.50421
Table Mt (4 mi),44.0446,-71.27603
"Tremont, Mt (4.8 mi)",44.07608,-71.33761
"Webster, Mt Cliffs (5.8 mi)",44.17097,-71.38789
"Webster, Mt Trail (4.4 mi)",44.21465,-71.40774
Welch Dickey Loop (4 mi 5★),43.9046,-71.58856
"Willard, Mt (3 mi)",44.21774,-71.41128
