name,lat,lon
"6,288 ft Mt Washington",44.270486,-71.303305
"5,774 ft Mt Adams",44.32038,-71.290934
"5,712 ft Mt Jefferson",44.304547,-71.317399
"5,384 ft Mt Monroe",44.255036,-71.321386
"5,367 ft Mt Madison",44.328435,-71.277834
"5,260 ft Mt Lafayette",44.160708,-71.644433
"5,089 ft Mt Lincoln",44.148827,-71.644601
"4,902 ft South Twin Mtn",44.187582,-71.554867
"4,832 ft Carter Dome",44.26716,-71.178971
"4,802 ft Mt Moosilauke",44.024306,-71.83096
"4,780 ft Mt Eisenhower",44.240247,-71.350491
"4,761 ft North Twin Mtn",44.202574,-71.557907
"4,700 ft Mt Carrigain",44.093582,-71.446878
"4,698 ft Mt Bond",44.152796,-71.531177
"4,610 ft Middle Carter Mtn",44.303136,-71.167838
"4,540 ft West Bond",44.154686,-71.543359
"4,500 ft Mt Garfield",44.18725,-71.611032
"4,459 ft Mt Liberty",44.11583,-71.642232
"4,430 ft South Carter Mtn",44.289591,-71.17664
"4,422 ft Wildcat Mtn",44.258954,-71.201726
"4,420 ft Mt Hancock",44.083515,-71.493576
"4,358 ft Kinsman Mtn S Peak",44.122945,-71.736499
"4,340 ft Mt Field",44.196145,-71.433322
"4,340 ft Mt Osceola",44.001395,-71.536595
"4,328 ft Mt Flume",44.109052,-71.627917
"4,319 ft Mt Hancock South",44.07293,-71.48747
"4,310 ft Mt Pierce",44.226736,-71.365794
"4,293 ft Kinsman Mtn N Peak",44.133404,-71.736862
"4,285 ft Mt Willey",44.183357,-71.420973
"4,266 ft Bondcliff",44.140333,-71.541122
"4,260 ft Mt Zealand",44.17962,-71.521423
"4,180 ft Mt Tripyramid North",43.973145,-71.442848
"4,170 ft Mt Cabot",44.505932,-71.414352
"4,156 ft E Peak Mt Osceola",44.005997,-71.520355
"4,140 ft Middle Tripyramid",43.960465,-71.441236
"4,100 ft Cannon Mtn",44.156685,-71.698624
"4,054 ft Mt Hale",44.2218,-71.512111
"4,052 ft Mt Jackson",44.203056,-71.375322
"4,051 ft Mt Tom",44.210456,-71.445905
"4,050 ft Wildcat Mtn Peak D",44.249502,-71.223681
"4,049 ft Mt Moriah",44.340654,-71.132031
"4,043 ft Mt Passaconaway",43.954991,-71.380469
"4,025 ft Owl's Head",44.144137,-71.604964
"4,024 ft Galehead Mtn",44.185188,-71.573608
"4,020 ft Mt Whiteface",43.933689,-71.405594
"4,006 ft Mt Waumbek",44.43264,-71.41701
"4,004 ft Mt Isolation",44.21491,-71.309382
"4,003 ft Mt Tecumseh",43.966767,-71.556935
